docname,from,to,pre,keyword,post,pattern
doc_347,260,260,strukturer Hvis ikke undergraves den milit<c3><a6>re forsvarsevnen N<c3><b8>dvendige,omstillinger,utsettes i noen av de alternative forslagene her,omstilling*
doc_352,419,419,formuesskatt til pst Norge er inne i en,omstillingsfase,og s<c3><a6>rlig bedrifter knyttet til petroleumsn<c3><a6>ringen har mange,omstilling*
doc_352,431,431,knyttet til petroleumsn<c3><a6>ringen har mange utfordringer i denne,omstillingen,Blant annet ligger det i dag mange skip,omstilling*
doc_359,79,79,dette som av styret er omtalt som kortsiktige,omstillingstiltak,Gjennomgangen skal sikre at driften av foretaket er,omstilling*
doc_361,82,82,pasientbehandling <e2><80><93> det styret omtaler som de kortsiktige,omstillingstiltakene,Gjennomgangen skal sikre at driften av foretaket er,omstilling*
doc_362,92,92,det som i styresammenheng omtales som de kortsiktige,omstillingstiltakene,Gjennomgangen skal sikre at driften av foretaket er,omstilling*
doc_385,613,613,Det er s<c3><a5>nn vi klarer <c3><a5> f<c3><a5> til,omstilling,av samfunnet <e2><80><93> ikke bare ved <c3><a5> dyrke,omstilling*
doc_391,195,195,i endring og legge til rette for n<c3><b8>dvendig,omstilling,og videreutvikling i samsvar med de m<c3><a5>lene som,omstilling*
doc_391,425,425,tilpasse seg I en tid med behov for,omstilling,og utvikling av nye n<c3><a6>ringer og aktivitet peker,omstilling*
doc_393,182,182,fortsatt stabil norsk tilstedev<c3><a6>relse p<c3><a5> <c3><b8>ygruppa En slik,omstillingsprosess,starter med energiforsyningen Mer renere og stabil energiforsyning,omstilling*
doc_393,749,749,har ogs<c3><a5> gode offentlige institusjoner med kompetanse p<c3><a5>,omstillingsarbeid,Vi har samfunn som kan vise til at,omstilling*
doc_393,762,762,kan vise til at man har lyktes med,omstilling,og vi har samfunn der man har lyktes,omstilling*
doc_394,73,73,og at regjeringspartiene <c3><b8>nsker <c3><a5> f<c3><b8>lge utviklingen og,omstillingen,i Longyearbyen og p<c3><a5> Svalbard tett i tiden,omstilling*
doc_394,92,92,er n<c3><b8>dvendig for fortl<c3><b8>pende <c3><a5> vurdere behovet for,omstillings,og n<c3><a6>ringsutviklingstiltak som kan st<c3><b8>tte opp under m<c3><a5>lene,omstilling*
doc_394,464,464,viktig signal fra regjeringen n<c3><a5>r man driver viktig,omstilling,og modernisering av statlig virksomhet I tillegg er,omstilling*
doc_396,237,237,vi ser hvordan vi kan gjennomf<c3><b8>re den gr<c3><b8>nne,omstillingen,for <c3><a5> s<c3><b8>rge for nullutslippsl<c3><b8>sninger b<c3><a5>de i kraftproduksjonen,omstilling*
doc_396,371,371,som jobber i gruveindustrien skal f<c3><a5> en storstilt,omstillingsplan,som kan ta oss ut av det fossile,omstilling*
